loggedAt,username,action,objectType,objectId,status,error
2026-06-12T22:41:16,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:40:22,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:40:07,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:39:48,UAT.INACTIVE1,LOGIN,DCT_USERS,UAT.INACTIVE1,FAILURE,User not found
2026-06-12T22:39:43,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:39:40,ADMIN,LOGIN,DCT_USERS,ADMIN,FAILURE,Invalid credentials
2026-06-12T22:39:31,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:39:19,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:33:50,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:28:54,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:25:38,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:25:24,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:25:05,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T22:17:47,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T11:02:21,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,7,SUCCESS,
2026-06-12T11:01:49,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T11:01:24,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T11:01:18,ADMIN,FUSION_PAYMENT_CONFIRMED,DCT_FL_PAYMENT_VOUCHERS,4,SUCCESS,
2026-06-12T11:01:18,SHAIKHA.ALSUWAIDI,LOGIN,,,SUCCESS,
2026-06-12T11:01:01,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T11:00:52,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T11:00:41,ADMIN,CONTRACT_RENEWED,DCT_FL_CONTRACTS,12,SUCCESS,
2026-06-12T11:00:41,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,12,SUCCESS,
2026-06-12T11:00:21,ADMIN,PAYMENT_SCHEDULE_REBUILT,DCT_FL_CONTRACTS,10,SUCCESS,
2026-06-12T11:00:00,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,11,SUCCESS,
2026-06-12T10:59:43,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,10,SUCCESS,
2026-06-12T10:58:44,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,6,SUCCESS,
2026-06-12T10:57:47,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T10:57:40,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T10:57:34,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T10:57:17,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:57:09,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:54:42,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,5,SUCCESS,
2026-06-12T10:53:58,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T10:53:39,ADMIN,FUSION_PAYMENT_CONFIRMED,DCT_FL_PAYMENT_VOUCHERS,3,SUCCESS,
2026-06-12T10:53:33,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T10:53:27,SHAIKHA.ALSUWAIDI,LOGIN,,,SUCCESS,
2026-06-12T10:53:11,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:53:03,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:53:01,ADMIN,CONTRACT_RENEWED,DCT_FL_CONTRACTS,9,SUCCESS,
2026-06-12T10:53:01,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,9,SUCCESS,
2026-06-12T10:52:41,ADMIN,PAYMENT_SCHEDULE_REBUILT,DCT_FL_CONTRACTS,7,SUCCESS,
2026-06-12T10:52:19,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,8,SUCCESS,
2026-06-12T10:52:03,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,7,SUCCESS,
2026-06-12T10:49:43,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T10:49:37,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T10:49:30,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T10:49:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:49:06,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:47:13,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:46:44,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,4,SUCCESS,
2026-06-12T10:45:26,ADMIN,CONTRACT_RENEWED,DCT_FL_CONTRACTS,6,SUCCESS,
2026-06-12T10:45:26,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,6,SUCCESS,
2026-06-12T10:45:06,ADMIN,PAYMENT_SCHEDULE_REBUILT,DCT_FL_CONTRACTS,4,SUCCESS,
2026-06-12T10:44:44,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,5,SUCCESS,
2026-06-12T10:44:28,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,4,SUCCESS,
2026-06-12T10:43:29,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,3,SUCCESS,
2026-06-12T10:42:31,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T10:42:25,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T10:42:18,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T10:42:02,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:41:51,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T10:40:10,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T10:40:09,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T08:23:35,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T08:23:35,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T08:22:25,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T08:21:16,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T08:19:20,ADMIN,FREELANCER_PROFILE_CREATED,DCT_FL_FREELANCERS,2,SUCCESS,
2026-06-12T08:17:33,ADMIN,PAYMENT_SCHEDULE_REBUILT,DCT_FL_CONTRACTS,3,SUCCESS,
2026-06-12T08:17:11,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,2,SUCCESS,
2026-06-12T08:16:58,ADMIN,PAYMENT_SCHEDULE_GENERATED,DCT_FL_CONTRACTS,3,SUCCESS,
2026-06-12T08:14:45,AYESHA.AMERI,LOGIN,,,SUCCESS,
2026-06-12T08:14:38,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T08:14:32,SHAIKHA.GALAMERI,LOGIN,,,SUCCESS,
2026-06-12T08:14:14,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T08:13:58,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:59:46,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:59:38,NASER.ALKHAJA,LOGIN,,,SUCCESS,
2026-06-12T01:59:28,ADMIN,LOGIN,,,SUCCESS,
2026-06-12T01:58:52,ADMIN,LOGIN,,,SUCCESS,
