Changed across the years from ,to,Inactive / Yet to be discarded,< remarks as of 2025 ,,,,,,,,
,,,,,,,,,,,
CostCenter_2018_2019,CostCenter_2020_2023,CostCenter_2024_2025,Department,Sector,Entity,Activity,Status & Remarks as of 2023,Status & Remarks as of 2024,Status & Remarks as of 2025,,RLS
4510130,4510130,4510130,DCT - Strategy Affairs,Strategy & Policy,DCT,Support Operations,,,,,?
4512400,4512400,-,DCT - Achievement & Performance ,Strategic Affairs,DCT,Support Operations,,,,,DCT - Achievement & Performance
4512500,4512500,4512500,DCT - Organization Developments & Change Enablement Department,Strategic Affairs,DCT,Support Operations,,,,New 2026,TBC
4515000,4515000,4515000,DCT - Tourism,Tourism,DCT,Core Operations,,,,,PARENT
4515010,4515010,4515010,DCT - Tourism Sector Management Office,Tourism,DCT,Core Operations,,,,,DCT - Tourism Sector Management Office
4515100,4515100,4515100,DCT - International Operations,Tourism,DCT,Core Operations,,,,,DCT - International Operations
4515300,4515300,4515300,DCT - Visitors Experience,Tourism,DCT,Core Operations,,,,,DCT - Visitors Experience
4515900,4515900,4515900,DCT - Tourism Products Development,Tourism,DCT,Core Operations,NEW (OCT),,,,DCT - Tourism Products Development
4515400,4515400,4515400,DCT - Abu Dhabi Conventions & Exhibition Bureau,Tourism,DCT,Core Operations,,,,,DCT - Abu Dhabi Conventions & Exhibition Bureau
4515500,4515500,4515500,DCT - Abu Dhabi Events Bureau,Tourism,DCT,Core Operations,,,,,DCT - Abu Dhabi Events Bureau
4515700,4515700,4515700,DCT - Destination Management,Tourism,DCT,Core Operations,NEW (MAR),,,,DCT - Destination Management
4510170,4510170,4510170,DCT - Licensing & Regulatory Compliance,Support Service,DCT,Core Operations,,,,,DCT - Licensing & Regulatory Compliance
4510270,4510170,4510170,DCT - Licensing & Regulatory Compliance,Support Service,DCT,Core Operations,,,,,DCT - Licensing & Regulatory Compliance
4515200,4510170,4510170,DCT - Licensing & Regulatory Compliance,Support Service,DCT,Core Operations,,,,,DCT - Licensing & Regulatory Compliance
4515600,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513010,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513100,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513300,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513400,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513500,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4513600,4510175,4510175,DCT - Media Affairs ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Media Affairs
4513700,4515600,4515600,DCT - Tourist Destination Marketing & Promotion  ,Strategic Marketing & Communication,DCT,Core Operations,,,,,DCT - Tourist Destination Marketing & Promotion
4515020,4515020,4515020,DCT - Emiratization & Capability Development Office,Tourism,DCT,Core Operations,,,,,TBC
4515030,4515030,4515030,"DCT - ED Office Events, Retail & Culinary Fund ",Tourism,DCT,Core Operations,,,,,TBC
4515040,4515040,4515040,DCT - ED Office VX & Tourism Product Development ,Tourism,DCT,Core Operations,,,,,TBC
4515001,4515001,4515001,DCT - DG Office Tourism,Tourism,DCT,Core Operations,,,,,TBC
4516000,4516000,-,DCT - Dar Al Kuteb,-,DCT,Core Operations,,,,,PARENT
4516010,4516010,-,DCT - Dar Al Kuteb (Central),Culture,DCT,Core Operations,,,,,INACTIVE
4516100,4516100,4516100,DCT - Library Management Department,Culture,DCT,Core Operations,,,,,DCT - Library Management Department
4516150,4516150,-,DCT - Exhibitions & Programmes Affairs ,ALC,ALC,Core Operations,,,,,DCT - Exhibitions & Programmes Affairs
4516200,4516200,-,DCT - Publishing ,ALC,ALC,Core Operations,,,,,DCT - Publishing
4516300,4516300,-,DCT - Sh. Zayed Book Award ,ALC,ALC,Core Operations,,,,,DCT - Sh. Zayed Book Award
4517000,4517000,4517000,DCT - Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,PARENT
4517010,4517010,4517010,DCT - Board Cultural Programs/Heritage Festivals Ctee,Heritage & Culture Committee,Heritage & Culture Committee,Heritage & Culture Committee,,,,,INACTIVE
